mi_sku,subcategoria,n_variantes,tipos,imagen_compartida,estado
MED-6574,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-70P0_img1.jpg,imagenes_variante_duplicadas
MED-6575,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-740_img1.jpg,imagenes_variante_duplicadas
MED-6576,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-750_img1.jpg,imagenes_variante_duplicadas
MED-6577,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-760_img1.jpg,imagenes_variante_duplicadas
MED-6578,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-800_img1.jpg,imagenes_variante_duplicadas
MED-6579,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-84D0_img1.jpg,imagenes_variante_duplicadas
MED-6580,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-910_img1.jpg,imagenes_variante_duplicadas
MED-6581,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-91M0_img1.jpg,imagenes_variante_duplicadas
MED-6582,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-960_img1.jpg,imagenes_variante_duplicadas
MED-6583,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-97D0_img1.jpg,imagenes_variante_duplicadas
MED-6584,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-990_img1.jpg,imagenes_variante_duplicadas
MED-6585,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-010_img1.jpg,imagenes_variante_duplicadas
MED-6586,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-01P0_img1.jpg,imagenes_variante_duplicadas
MED-6587,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-020_img1.jpg,imagenes_variante_duplicadas
MED-6588,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-030_img1.jpg,imagenes_variante_duplicadas
MED-6589,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-040_img1.jpg,imagenes_variante_duplicadas
MED-6590,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-050_img1.jpg,imagenes_variante_duplicadas
MED-6591,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-060_img1.jpg,imagenes_variante_duplicadas
MED-6592,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-070_img1.jpg,imagenes_variante_duplicadas
MED-6593,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-080_img1.jpg,imagenes_variante_duplicadas
MED-6594,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-08L0_img1.jpg,imagenes_variante_duplicadas
MED-6595,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-090_img1.jpg,imagenes_variante_duplicadas
MED-6596,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-100_img1.jpg,imagenes_variante_duplicadas
MED-6597,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-101P0_img1.jpg,imagenes_variante_duplicadas
MED-6598,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-1060_img1.jpg,imagenes_variante_duplicadas
MED-6599,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-1080_img1.jpg,imagenes_variante_duplicadas
MED-6600,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-110_img1.jpg,imagenes_variante_duplicadas
MED-6601,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-1130_img1.jpg,imagenes_variante_duplicadas
MED-6602,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-120_img1.jpg,imagenes_variante_duplicadas
MED-6603,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-1210_img1.jpg,imagenes_variante_duplicadas
MED-6604,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-1250_img1.jpg,imagenes_variante_duplicadas
MED-6605,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-130_img1.jpg,imagenes_variante_duplicadas
MED-6606,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-1370_img1.jpg,imagenes_variante_duplicadas
MED-6607,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-137D0_img1.jpg,imagenes_variante_duplicadas
MED-6608,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-140_img1.jpg,imagenes_variante_duplicadas
MED-6609,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-1430_img1.jpg,imagenes_variante_duplicadas
MED-6610,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-1470_img1.jpg,imagenes_variante_duplicadas
MED-6611,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-150_img1.jpg,imagenes_variante_duplicadas
MED-6612,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-160_img1.jpg,imagenes_variante_duplicadas
MED-6613,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-165D0_img1.jpg,imagenes_variante_duplicadas
MED-6614,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-170_img1.jpg,imagenes_variante_duplicadas
MED-6615,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-173D0_img1.jpg,imagenes_variante_duplicadas
MED-6616,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-1750_img1.jpg,imagenes_variante_duplicadas
MED-6617,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-1790_img1.jpg,imagenes_variante_duplicadas
MED-6618,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-17M0_img1.jpg,imagenes_variante_duplicadas
MED-6619,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-180_img1.jpg,imagenes_variante_duplicadas
MED-6620,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-190_img1.jpg,imagenes_variante_duplicadas
MED-6621,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-191P0_img1.jpg,imagenes_variante_duplicadas
