mi_sku,subcategoria,tipo,sku_ref,archivo_actual,familia_duplicada
MED-6514,spo2_direct_connect_sensors,Multi-Site,S810-120,direct-connect-spo2-sensors/S810-120_img1.jpg,si
MED-6514,spo2_direct_connect_sensors,Neonate Soft,S310-120,direct-connect-spo2-sensors/S310-120_img1.jpg,si
MED-6514,spo2_direct_connect_sensors,Pediatric Clip,S110-120,direct-connect-spo2-sensors/S110-120_img1.jpg,si
MED-6514,spo2_direct_connect_sensors,Pediatric Soft,S110S-120,direct-connect-spo2-sensors/S110S-120_img1.jpg,si
MED-6515,spo2_direct_connect_sensors,Adult Clip,S410-1210,direct-connect-spo2-sensors/S410-1210_img1.jpg,si
MED-6515,spo2_direct_connect_sensors,Adult Soft,S410S-1210,direct-connect-spo2-sensors/S410S-1210_img1.jpg,si
MED-6515,spo2_direct_connect_sensors,Multi-Site,S810-1210,direct-connect-spo2-sensors/S810-1210_img1.jpg,si
MED-6515,spo2_direct_connect_sensors,Neonate Soft,S310-1210,direct-connect-spo2-sensors/S310-1210_img1.jpg,si
MED-6515,spo2_direct_connect_sensors,Pediatric Clip,S110-1210,direct-connect-spo2-sensors/S110-1210_img1.jpg,si
MED-6515,spo2_direct_connect_sensors,Pediatric Soft,S110S-1210,direct-connect-spo2-sensors/S110S-1210_img1.jpg,si
MED-6516,spo2_direct_connect_sensors,Adult Clip,S410-1250,direct-connect-spo2-sensors/S410-1250_img1.jpg,si
MED-6516,spo2_direct_connect_sensors,Adult Soft,S410S-1250,direct-connect-spo2-sensors/S410S-1250_img1.jpg,si
MED-6516,spo2_direct_connect_sensors,Multi-Site,S810-1250,direct-connect-spo2-sensors/S810-1250_img1.jpg,si
MED-6516,spo2_direct_connect_sensors,Neonate Soft,S310-1250,direct-connect-spo2-sensors/S310-1250_img1.jpg,si
MED-6516,spo2_direct_connect_sensors,Pediatric Clip,S110-1250,direct-connect-spo2-sensors/S110-1250_img1.jpg,si
MED-6516,spo2_direct_connect_sensors,Pediatric Soft,S110S-1250,direct-connect-spo2-sensors/S110S-1250_img1.jpg,si
MED-6517,spo2_direct_connect_sensors,Adult Clip,S410-130,direct-connect-spo2-sensors/S410-130_img1.jpg,si
MED-6517,spo2_direct_connect_sensors,Adult Soft,S410S-130,direct-connect-spo2-sensors/S410S-130_img1.jpg,si
MED-6517,spo2_direct_connect_sensors,Multi-Site,S810-130,direct-connect-spo2-sensors/S810-130_img1.jpg,si
MED-6517,spo2_direct_connect_sensors,Neonate Soft,S310-130,direct-connect-spo2-sensors/S310-130_img1.jpg,si
MED-6517,spo2_direct_connect_sensors,Pediatric Clip,S110-130,direct-connect-spo2-sensors/S110-130_img1.jpg,si
MED-6517,spo2_direct_connect_sensors,Pediatric Soft,S110S-130,direct-connect-spo2-sensors/S110S-130_img1.jpg,si
MED-6518,spo2_direct_connect_sensors,Adult Clip,S410-1370,direct-connect-spo2-sensors/S410-1370_img1.jpg,si
MED-6518,spo2_direct_connect_sensors,Adult Soft,S410S-1370,direct-connect-spo2-sensors/S410S-1370_img1.jpg,si
MED-6518,spo2_direct_connect_sensors,Multi-Site,S810-1370,direct-connect-spo2-sensors/S810-1370_img1.jpg,si
MED-6518,spo2_direct_connect_sensors,Neonate Soft,S310-1370,direct-connect-spo2-sensors/S310-1370_img1.jpg,si
MED-6518,spo2_direct_connect_sensors,Pediatric Clip,S110-1370,direct-connect-spo2-sensors/S110-1370_img1.jpg,si
MED-6518,spo2_direct_connect_sensors,Pediatric Soft,S110S-1370,direct-connect-spo2-sensors/S110S-1370_img1.jpg,si
MED-6519,spo2_direct_connect_sensors,Adult Clip,S410-137D0,direct-connect-spo2-sensors/S410-137D0_img1.jpg,si
MED-6519,spo2_direct_connect_sensors,Adult Soft,S410S-137D0,direct-connect-spo2-sensors/S410S-137D0_img1.jpg,si
MED-6519,spo2_direct_connect_sensors,Multi-Site,S810-137D0,direct-connect-spo2-sensors/S810-137D0_img1.jpg,si
MED-6519,spo2_direct_connect_sensors,Neonate Soft,S310-137D0,direct-connect-spo2-sensors/S310-137D0_img1.jpg,si
MED-6519,spo2_direct_connect_sensors,Pediatric Clip,S110-137D0,direct-connect-spo2-sensors/S110-137D0_img1.jpg,si
MED-6519,spo2_direct_connect_sensors,Pediatric Soft,S110S-137D0,direct-connect-spo2-sensors/S110S-137D0_img1.jpg,si
MED-6520,spo2_direct_connect_sensors,Adult Clip,S410-140,direct-connect-spo2-sensors/S410-140_img1.jpg,si
MED-6520,spo2_direct_connect_sensors,Adult Soft,S410S-140,direct-connect-spo2-sensors/S410S-140_img1.jpg,si
MED-6520,spo2_direct_connect_sensors,Multi-Site,S810-140,direct-connect-spo2-sensors/S810-140_img1.jpg,si
MED-6520,spo2_direct_connect_sensors,Neonate Soft,S310-140,direct-connect-spo2-sensors/S310-140_img1.jpg,si
MED-6520,spo2_direct_connect_sensors,Pediatric Clip,S110-140,direct-connect-spo2-sensors/S110-140_img1.jpg,si
MED-6520,spo2_direct_connect_sensors,Pediatric Soft,S110S-140,direct-connect-spo2-sensors/S110S-140_img1.jpg,si
MED-6521,spo2_direct_connect_sensors,Adult Clip,S410-1430,direct-connect-spo2-sensors/S410-1430_img1.jpg,si
MED-6521,spo2_direct_connect_sensors,Adult Soft,S410S-1430,direct-connect-spo2-sensors/S410S-1430_img1.jpg,si
MED-6521,spo2_direct_connect_sensors,Multi-Site,S810-1430,direct-connect-spo2-sensors/S810-1430_img1.jpg,si
MED-6521,spo2_direct_connect_sensors,Neonate Soft,S310-1430,direct-connect-spo2-sensors/S310-1430_img1.jpg,si
MED-6521,spo2_direct_connect_sensors,Pediatric Clip,S110-1430,direct-connect-spo2-sensors/S110-1430_img1.jpg,si
MED-6521,spo2_direct_connect_sensors,Pediatric Soft,S110S-1430,direct-connect-spo2-sensors/S110S-1430_img1.jpg,si
MED-6522,spo2_direct_connect_sensors,Adult Clip,S410-1470,direct-connect-spo2-sensors/S410-1470_img1.jpg,si
MED-6522,spo2_direct_connect_sensors,Adult Soft,S410S-1470,direct-connect-spo2-sensors/S410S-1470_img1.jpg,si
MED-6522,spo2_direct_connect_sensors,Multi-Site,S810-1470,direct-connect-spo2-sensors/S810-1470_img1.jpg,si
MED-6522,spo2_direct_connect_sensors,Neonate Soft,S310-1470,direct-connect-spo2-sensors/S310-1470_img1.jpg,si
MED-6522,spo2_direct_connect_sensors,Pediatric Clip,S110-1470,direct-connect-spo2-sensors/S110-1470_img1.jpg,si
MED-6522,spo2_direct_connect_sensors,Pediatric Soft,S110S-1470,direct-connect-spo2-sensors/S110S-1470_img1.jpg,si
MED-6523,spo2_direct_connect_sensors,Adult Clip,S410-150,direct-connect-spo2-sensors/S410-150_img1.jpg,si
MED-6523,spo2_direct_connect_sensors,Adult Soft,S410S-150,direct-connect-spo2-sensors/S410S-150_img1.jpg,si
MED-6523,spo2_direct_connect_sensors,Multi-Site,S810-150,direct-connect-spo2-sensors/S810-150_img1.jpg,si
MED-6523,spo2_direct_connect_sensors,Neonate Soft,S310-150,direct-connect-spo2-sensors/S310-150_img1.jpg,si
MED-6523,spo2_direct_connect_sensors,Pediatric Clip,S110-150,direct-connect-spo2-sensors/S110-150_img1.jpg,si
MED-6523,spo2_direct_connect_sensors,Pediatric Soft,S110S-150,direct-connect-spo2-sensors/S110S-150_img1.jpg,si
MED-6524,spo2_direct_connect_sensors,Adult Clip,S410-160,direct-connect-spo2-sensors/S410-160_img1.jpg,si
MED-6524,spo2_direct_connect_sensors,Adult Soft,S410S-160,direct-connect-spo2-sensors/S410S-160_img1.jpg,si
MED-6524,spo2_direct_connect_sensors,Multi-Site,S810-160,direct-connect-spo2-sensors/S810-160_img1.jpg,si
MED-6524,spo2_direct_connect_sensors,Neonate Soft,S310-160,direct-connect-spo2-sensors/S310-160_img1.jpg,si
MED-6524,spo2_direct_connect_sensors,Pediatric Clip,S110-160,direct-connect-spo2-sensors/S110-160_img1.jpg,si
MED-6524,spo2_direct_connect_sensors,Pediatric Soft,S110S-160,direct-connect-spo2-sensors/S110S-160_img1.jpg,si
MED-6525,spo2_direct_connect_sensors,Adult Clip,S410-165D0,direct-connect-spo2-sensors/S410-165D0_img1.jpg,si
MED-6525,spo2_direct_connect_sensors,Adult Soft,S410S-165D0,direct-connect-spo2-sensors/S410S-165D0_img1.jpg,si
MED-6525,spo2_direct_connect_sensors,Multi-Site,S810-165D0,direct-connect-spo2-sensors/S810-165D0_img1.jpg,si
MED-6525,spo2_direct_connect_sensors,Neonate Soft,S310-165D0,direct-connect-spo2-sensors/S310-165D0_img1.jpg,si
MED-6525,spo2_direct_connect_sensors,Pediatric Clip,S110-165D0,direct-connect-spo2-sensors/S110-165D0_img1.jpg,si
MED-6525,spo2_direct_connect_sensors,Pediatric Soft,S110S-165D0,direct-connect-spo2-sensors/S110S-165D0_img1.jpg,si
MED-6526,spo2_direct_connect_sensors,Adult Clip,S410-170,direct-connect-spo2-sensors/S410-170_img1.jpg,si
MED-6526,spo2_direct_connect_sensors,Adult Soft,S410S-170,direct-connect-spo2-sensors/S410S-170_img1.jpg,si
MED-6526,spo2_direct_connect_sensors,Multi-Site,S810-170,direct-connect-spo2-sensors/S810-170_img1.jpg,si
MED-6526,spo2_direct_connect_sensors,Neonate Soft,S310-170,direct-connect-spo2-sensors/S310-170_img1.jpg,si
MED-6526,spo2_direct_connect_sensors,Pediatric Clip,S110-170,direct-connect-spo2-sensors/S110-170_img1.jpg,si
MED-6526,spo2_direct_connect_sensors,Pediatric Soft,S110S-170,direct-connect-spo2-sensors/S110S-170_img1.jpg,si
MED-6527,spo2_direct_connect_sensors,Adult Clip,S410-173D0,direct-connect-spo2-sensors/S410-173D0_img1.jpg,si
MED-6527,spo2_direct_connect_sensors,Adult Soft,S410S-173D0,direct-connect-spo2-sensors/S410S-173D0_img1.jpg,si
